Date,Bitcoin Market Cap
2010-07-17,12.042606208465315
2010-07-18,12.428259739584934
2010-07-19,12.598050542056795
2010-07-20,12.508197418263748
2010-07-21,12.490875577231112
2010-07-22,12.32572060779607
2010-07-23,12.191395460684022
2010-07-24,12.220611443151254
2010-07-25,12.131397589537878
2010-07-26,12.135156497159937
2010-07-27,12.228758367613498
2010-07-28,12.255800465201352
2010-07-29,12.344220242071748
2010-07-30,12.368884282185029
2010-07-31,12.37407973747607
2010-08-01,12.292543876667294
2010-08-02,12.299157624136921
2010-08-03,12.281908053378793
2010-08-04,12.279206929517676
2010-08-05,12.280892507087637
2010-08-06,12.326634040192424
2010-08-07,12.29178234236833
2010-08-08,12.294747221969812
2010-08-09,12.39293388236616
2010-08-10,12.440662437968632
2010-08-11,12.360200467953346
2010-08-12,12.446431165311918
2010-08-13,12.397312647831376
2010-08-14,12.411601973245126
2010-08-15,12.413797944116002
2010-08-16,12.388985694025084
2010-08-17,12.44251931665541
2010-08-18,12.462449792153539
2010-08-19,12.43935264898977
2010-08-20,12.42315788226042
2010-08-21,12.423447590381516
2010-08-22,12.418895117272402
2010-08-23,12.421010623017064
2010-08-24,12.41614716790395
2010-08-25,12.428856132028827
2010-08-26,12.413225016746301
2010-08-27,12.417520062963542
2010-08-28,12.42052251607565
2010-08-29,12.419634438060184
2010-08-30,12.42847191993903
2010-08-31,12.387347821725516
2010-09-01,12.39607297825113
2010-09-02,12.394086304860645
2010-09-03,12.375384947730488
2010-09-04,12.391991889546112
2010-09-05,12.397704889705127
2010-09-06,12.40182855592538
2010-09-07,12.390071960766656
2010-09-08,12.395369816060553
2010-09-09,12.391019918778246
2010-09-10,12.397552140108894
2010-09-11,12.422018354416991
2010-09-12,12.408307117656006
2010-09-13,12.415137556234823
2010-09-14,12.415839121402707
2010-09-15,12.409556199376086
2010-09-16,12.418967861592314
2010-09-17,12.389614291046417
2010-09-18,12.393120515688215
2010-09-19,12.425706043457867
2010-09-20,12.433056812230317
2010-09-21,12.447967291081252
2010-09-22,12.440096787940595
2010-09-23,12.441512289098204
2010-09-24,12.443418859842849
2010-09-25,12.445727137971298
2010-09-26,12.44672207097405
2010-09-27,12.450989430239938
2010-09-28,12.450547067546212
2010-09-29,12.45351848936735
2010-09-30,12.453319367455276
2010-10-01,12.456854709908338
2010-10-02,12.454018071758092
2010-10-03,12.448952155251575
2010-10-04,12.450253355910183
2010-10-05,12.454614901556445
2010-10-06,12.46834459804474
2010-10-07,12.516677472614377
2010-10-08,12.685426177883658
2010-10-09,12.826364146413832
2010-10-10,12.8976110326757
2010-10-11,12.881078767623588
2010-10-12,12.898429513875675
2010-10-13,12.94224579008438
2010-10-14,12.99141607172084
2010-10-15,12.986534490416828
2010-10-16,12.968906789972536
2010-10-17,12.986738366117498
2010-10-18,12.996727589437931
2010-10-19,12.95786837912098
2010-10-20,12.970935653631718
2010-10-21,12.999784359388281
2010-10-22,13.032362080510191
2010-10-23,13.048236635843693
2010-10-24,13.093826033296752
2010-10-25,13.092042304708468
2010-10-26,13.337785998903074
2010-10-27,13.519142874563844
2010-10-28,13.575866620947442
2010-10-29,13.612168408455297
2010-10-30,13.65859238549285
2010-10-31,13.661437041826488
2010-11-01,13.66732604511552
2010-11-02,13.663628968469936
2010-11-03,13.668450347905504
2010-11-04,13.773633840752876
2010-11-05,13.867600984557512
2010-11-06,14.197139836338788
2010-11-07,14.416540256631553
2010-11-08,14.100446613560509
2010-11-09,13.88643769089418
2010-11-10,13.836870795085604
2010-11-11,13.845748741024885
2010-11-12,13.94105098267974
2010-11-13,14.067390048789488
2010-11-14,14.055587526285516
2010-11-15,14.04422496321681
2010-11-16,13.938566777029788
2010-11-17,13.859320723451363
2010-11-18,13.940523395505341
2010-11-19,14.05591861631003
2010-11-20,14.084009046472994
2010-11-21,14.067425805717008
2010-11-22,14.081917409385754
2010-11-23,14.092832398064745
2010-11-24,14.095197000389845
2010-11-25,14.090991498409368
2010-11-26,14.094502732383594
2010-11-27,14.103660271055125
2010-11-28,14.079865915812164
2010-11-29,13.998583499064992
2010-11-30,13.850990629787894
2010-12-01,13.850610291533252
2010-12-02,13.95267434544752
2010-12-03,13.991341093587858
2010-12-04,13.907845406767041
2010-12-05,13.795174168242273
2010-12-06,13.842971043774023
2010-12-07,13.840341697544705
2010-12-08,13.957793667351408
2010-12-09,13.843417511217282
2010-12-10,13.792700372495705
2010-12-11,13.859606866064304
2010-12-12,13.853729808282546
2010-12-13,13.883141168661856
2010-12-14,13.962370726480069
2010-12-15,13.981436776055764
2010-12-16,13.991829132862064
2010-12-17,13.995705688849643
2010-12-18,13.998829117585696
2010-12-19,13.997196079197154
2010-12-20,14.037254730604712
2010-12-21,14.0247677383728
2010-12-22,14.014590079088794
2010-12-23,14.0243328478107
2010-12-24,14.02579741503993
2010-12-25,14.02608342830463
2010-12-26,14.06235266698436
2010-12-27,14.0659439315638
2010-12-28,14.120452321306018
2010-12-29,14.170585121977934
2010-12-30,14.206661708432955
2010-12-31,14.22346257115893
2011-01-01,14.211654357343367
2011-01-02,14.217769866316418
2011-01-03,14.20329833872551
2011-01-04,14.2217280496276
2011-01-05,14.212987848230236
2011-01-06,14.228069776594529
2011-01-07,14.263223843110758
2011-01-08,14.288208678804873
2011-01-09,14.311494385140632
2011-01-10,14.31863883300579
2011-01-11,14.325877876724569
2011-01-12,14.315424869282158
2011-01-13,14.302981368886634
2011-01-14,14.42508969916462
2011-01-15,14.517897916288263
2011-01-16,14.519666914543532
2011-01-17,14.455782140322414
