Date,Ethereum Hashrate,Ethereum Mining Prob,Ethereum No. of Transactions,Ethereum Avg. Transaction Fee
2017-03-26,30.41742923247033,-2.3258537199334,11.283939882172385,-3.2995437279356556
2017-03-27,30.457873824115698,-2.366590422969958,11.456873497616078,-3.1820618517454844
2017-03-28,30.431881065373982,-2.371935171128839,11.342706376963905,-3.275446176356595
2017-03-29,30.472505084614088,-2.3413259213104762,11.441042707496603,-3.2467610283577364
2017-03-30,30.474964788596335,-2.3486290314954523,11.474278187371349,-3.2441936328524905
2017-03-31,30.501336199117382,-2.4112845099173867,11.543474068458995,-3.278095184528172
2017-04-01,30.48414290145492,-2.406835114367845,11.296906473598314,-3.3326045901965435
2017-04-02,30.482917750994723,-2.425883309338539,11.395807208299322,-3.2941383093687477
2017-04-03,30.43820286593873,-2.4441486573158326,11.51513302651223,-3.3813947543659757
2017-04-04,30.49846934757737,-2.557477342622836,11.365341510264392,-3.417326763592039
2017-04-05,30.526623254814748,-2.5244794249078235,11.378376411847727,-3.3270179834879037
2017-04-06,30.51954656009195,-2.573082340691726,11.463493594951633,-3.3784578946926658
2017-04-07,30.535327612326103,-2.5996443272584235,11.438697485615931,-3.396209840151116
2017-04-08,30.540315247058814,-2.584948003968227,11.186419400660865,-3.4326880487535263
2017-04-09,30.521761675280096,-2.6023397466800957,11.21931921249848,-3.402197881995739
2017-04-10,30.525392389105622,-2.622790357151387,11.231715734981039,-3.3186961601504117
2017-04-11,30.557950482047953,-2.631089159966082,11.237053379277805,-3.3813947543659757
2017-04-12,30.55195108105536,-2.6186666399675245,11.294110033816482,-3.114515809543958
2017-04-13,30.532565547426366,-2.505926017012076,11.34004717980357,-3.3354096411241523
2017-04-14,30.618568101333157,-2.579656986333811,11.30411618533917,-3.291446517703036
2017-04-15,30.588997143775806,-2.5862751441762892,11.222840507902138,-3.2941383093687477
2017-04-16,30.60626334333763,-2.5743938162895366,11.165266893958085,-3.2728041668937564
2017-04-17,30.62118928678887,-2.588934720212048,11.191976122402302,-3.2138882833571616
2017-04-18,30.64157757370571,-2.588934720212048,11.330239841912194,-3.128121461599737
2017-04-19,30.630703272869518,-2.588934720212048,11.359004758697026,-3.076942328979534
2017-04-20,30.641087891596815,-2.6009911288088023,11.355686688543736,-3.1893170226266565
2017-04-21,30.666204047850815,-2.615926912226404,11.305630656210356,-2.8824035882469876
2017-04-22,30.67080087158702,-2.647896278282463,11.205571156720927,-2.99974029495153
2017-04-23,30.693908503889116,-2.6564069679503715,11.25250830366646,-3.1893170226266565
2017-04-24,30.659645676156657,-2.613194670089531,11.296397482445013,-3.092243173934835
2017-04-25,30.702832736030345,-2.624168717121508,11.440709547904705,-3.1629681929299047
2017-04-26,30.689419859218816,-2.624168717121508,11.40357923913406,-3.137295837875778
2017-04-27,30.70444272877406,-2.5383074265151158,11.556884932470684,-3.0323962579255825
2017-04-28,30.764472705623422,-2.4464554634137476,11.573013472246595,-3.0057826094074924
2017-04-29,30.786615758722828,-2.430418464503931,11.422289344710784,-2.9224818118143983
2017-04-30,30.763859054695534,-2.3708639337473403,11.463756228962145,-2.8150787738607335
2017-05-01,30.775363947191583,-2.2926347621408776,11.628056097223807,-2.6009911288088023
2017-05-02,30.777160787201563,-2.3176987308040937,11.61144865932879,-2.545931351625775
2017-05-03,30.79284929205769,-2.3248307019413654,11.485903641873922,-2.7887181041696647
2017-05-04,30.778114826735926,-2.2164073967529934,11.651617269734942,-2.682382454353632
2017-05-05,30.828260390669474,-2.1803674602697964,11.59463447589677,-2.6352645313765626
